,,,
Code ,No. subcodes ,Description ,Causality Rating 
,, ,
A04.7 , ,Enterocolitis due to Clostridium difficile ,C 
A80.0 , ,"Acute paralytic poliomyelitis, vaccine-associated ",V 
D50.0 , ,Iron deficiency anemia secondary to blood loss (chronic) ,E 
D52.1 , ,Drug-induced folate deficiency anemia ,A1 
D59.0 , ,Drug-induced autoimmune hemolytic anemia ,A1 
D59.2 , ,Drug-induced non autoimmune hemolytic anemia ,A1 
D61.1[1] , ,Drug-induced aplastic anaemia  ,A1 
D61.9 , ,"Aplastic Anemia, unspecified ",E 
D62 ,1,Acute post-hemorrhagic anemia ,D 
D64.2 , ,Secondary sideroblastic anaemia due to drugs and toxins ,A2 
D65 ,1,Disseminated Intravascular Coagulation (defibrination syndrome) ,E 
D68.3 , ,Hemorrhagic disorder due to circulating anticoagulants ,A1 
D68.4 , ,Acquired coagulation factor deficiency ,E 
D68.8 , ,Other specified coagulation defects ,E 
D68.9 , ,"Coagulation defect, unspecified ",E 
D69 ,9,Purpura and other haemorrhagic conditions ,C 
D69.5[1] , ,Secondary thrombocytopenia ,C 
D69.6 , ,"Thrombocytopenia, unspecified ",D 
D69.9 , ,"Hemorrhagic condition, unspecified ",E 
D70[2] ,1,Agranulocytosis ,D 
,,,
E03.2 , ,Hypothyroidism due to medicaments and other exogenous substances ,A2 
E06.4 , ,Drug-induced thyroiditis ,A1 
E15 ,1,Nondiabetic hypoglycemic coma ,C 
E16.0 , ,Drug-induced hypoglycaemia without coma ,A1 
E23.1 , ,Drug-induced hypopituitarism ,A1 
E24.2 , ,Drug-induced Cushing syndrome ,A1 
E27.3 , ,Drug-induced adrenocortical insufficiency ,A1 
E66.1[3] , ,Drug-induced obesity ,A1 
E86 ,1,Volume depletion ,E 
E87 ,9,"Other disorders of fluid, electrolyte and acid-base balance",E 
E87.0 , ,Hyperosmolality and hypernatremia ,E 
E87.1 , ,Hypoosmolality and hyponatremia ,E 
E87.2 , ,Acidosis ,E 
E87.3 , ,Alkalosis ,E 
E87.4 , ,Mixed disorder of acid-base balance ,E 
E87.5 , ,Hyperkalemia ,E 
E87.6 , ,Hypokalemia ,E 
E87.7 , ,Fluid overload ,E 
E87.8 , ,"Other disorders of electrolyte and fluid balance, not elsewhere classified ",E 
F05 ,4,"Delirium, not induced by alcohol and other psychoactive substances ",E 
F115 ,10,Mental and behavioural disorders due to use of opioids ,A2 
F13[1] ,10,Mental and behavioural disorders due to use of sedatives or hypnotics ,A2 
F156 ,10,"Mental and behavioural disorders due to use of other stimulants, including caffeine ",A2 
F166 ,10,Mental and behavioural disorders due to use of hallucinogens ,E 
F196 ,10,Mental and behavioral disorders due to multiple drug use and use of other psychoactive substances ,A2 
F52 ,10,"Sexual dysfunction, not caused by organic disorder or disease ",D 
F556 ,1,Abuse of non-dependence-producing substances ,B2 
G04.0 , ,Acute disseminated encephalitis ,E 
G21.0 , ,Malignant neuroleptic syndrome ,A1 
G21.1 , ,Other drug-induced secondary parkinsonism ,A1 
,,,
G21.2 , ,Secondary parkinsonism due to other external agents ,A2 
G24.0 , ,Drug-induced dystonia ,A1 
G25.0 , ,Essential tremor ,A1 
G25.1 , ,Drug-induced tremor ,A1 
G25.3 , ,Myoclonus ,E 
G25.4 , ,Drug-induced chorea ,A1 
G25.6 , ,Drug-induced tics and other tics of organic origin ,A1 
G40.5 , ,Special epileptic syndromes ,E 
G44.4 , ,"Drug-induced headache, not elsewhere classified ",A1 
G62.0 , ,Drug-induced polyneuropathy ,A1 
G71.1 , ,Myotonic disorders ,E 
G72.0 , ,Drug-induced myopathy ,A1 
G95.8 , ,Other specified diseases of spinal cord ,E 
H11.3 , ,Conjunctival hemorrhage ,E 
H21.0 , ,Hyphaema ,E 
H26.3 , ,Drug-induced cataract ,A1 
H31.3 , ,Choroidal hemorrhage and rupture ,E 
H35.6 , ,Retinal hemorrhage ,E 
H40.6 , ,Glaucoma secondary to drugs ,A1 
H43.1 , ,Vitreous hemorrhage ,E 
H53 ,9,Visual disturbances ,D 
H91.0 , ,Ototoxic hearing loss ,C 
H92.2 , ,Otorrhagia ,E 
I15.8[1] , ,Other secondary hypertension ,D 
I15.9 , ,"Secondary hypertension, unspecified ",E 
I26 ,2,Pulmonary embolism  ,E 
I31.2 , ,"Haemopericardium, not elsewhere classified ",E 
I42.7 , ,Cardiomyopathy due to drugs and other external agents ,A2 
I44 ,8,Atrioventricular and left bundle-branch block,E 
I45.8 , ,Other specified conduction disorders ,E 
I46.1 , ,"Sudden cardiac death, so described",E 
I47.2 , ,Ventricular tachycardia ,E 
I49.0 , ,Ventricular fibrillation and flutter ,U 
,,,
I60 ,10,Subarachanoid hemorrhage ,E 
I61 ,9,Intracerebral hemorrhage ,E 
I62 ,3,Other nontraumatic intracranial haemorrhage , 
I80 ,6,Phlebitis and thrombophlebitis ,E 
I85.0 , ,Esophageal varices with bleeding ,U 
I95 ,5,Hypotension ,E 
I95.2 , ,Hypotension due to drugs ,A1 
H21.0 , ,Hyphaema ,E 
H26.3 , ,Drug-induced cataract ,A1 
H31.3 , ,Choroidal hemorrhage and rupture ,E 
