Total Charge,Code,Subtype
SKILLED NURSING FACILITY-PPS,0022,PPS
HOME HEALTH - PPS,0023,PPS
INPATIENT REHAB FACILITY - PPS,0024,PPS
ALL-INCLUSIVE ROOM AND BOARD/PLUS ANCILLARY,0100,ROOM
ALL-INCLUSIVE ROOM AND BOARD,0101,ROOM
PRIVATE BED - GENERAL CLASSIFICATION,0110,ROOM
PRIVATE BED -  MEDICAL/SURGICAL/GYN,0111,ROOM
PRIVATE BED - OBSTETRICS (OB),0112,ROOM
PRIVATE BED - PEDIATRIC,0113,ROOM
PRIVATE BED - PSYCHIATRIC,0114,ROOM
PRIVATE BED - HOSPICE,0115,ROOM
PRIVATE BED - DETOXIFICATION,0116,ROOM
PRIVATE BED - ONCOLOGY,0117,ROOM
PRIVATE BED - REHABILITATION,0118,ROOM
PRIVATE BED - OTHER,0119,ROOM
SEMIPRIVATE BED - GENERAL CLASSIFICATION,0120,ROOM
SEMIPRIVATE BED - MEDICAL/SURGICAL/GYN,0121,ROOM
SEMIPRIVATE BED - OBSTETRICS (OB),0122,ROOM
SEMIPRIVATE BED - PEDIATRIC,0123,ROOM
SEMIPRIVATE BED - PSYCHIATRIC,0124,ROOM
SEMIPRIVATE BED - HOSPICE,0125,ROOM
SEMIPRIVATE BED - DETOXIFICATION,0126,ROOM
SEMIPRIVATE BED - ONCOLOGY,0127,ROOM
SEMIPRIVATE BED - REHABILITATION,0128,ROOM
SEMIPRIVATE BED - OTHER,0129,ROOM
THREE AND FOUR BEDS - GENERAL CLASSIFICATION,0130,ROOM
THREE AND FOUR BEDS - MEDICAL/SURGICAL/GYN,0131,ROOM
THREE AND FOUR BEDS - OBSTETRICS(OB),0132,ROOM
THREE AND FOUR BEDS - PEDIATRIC,0133,ROOM
THREE AND FOUR BEDS - PSYCHIATRIC,0134,ROOM
THREE AND FOUR BEDS - HOSPICE,0135,ROOM
THREE AND FOUR BEDS - DETOXIFICATION,0136,ROOM
THREE AND FOUR BEDS - ONCOLOGY,0137,ROOM
THREE AND FOUR BEDS - REHABILITATION,0138,ROOM
THREE AND FOUR BEDS - OTHER,0139,ROOM
DELUXE PRIVATE ROOM - GENERAL CLASSIFICATION,0140,ROOM
DELUXE PRIVATE ROOM - MEDICAL/SURGICAL/GYN,0141,ROOM
DELUXE PRIVATE ROOM - OBSTETRICS (OB),0142,ROOM
DELUXE PRIVATE ROOM - PEDIATRIC,0143,ROOM
DELUXE PRIVATE ROOM - DELUXE PRIVATE ROOM - PSYCHIATRIC,0144,ROOM
DELUXE PRIVATE ROOM - HOSPICE,0145,ROOM
DELUXE PRIVATE ROOM - DETOXIFICATION,0146,ROOM
DELUXE PRIVATE ROOM - ONCOLOGY,0147,ROOM
DELUXE PRIVATE ROOM - REHABILITATION,0148,ROOM
DELUXE PRIVATE ROOM - OTHER,0149,ROOM
WARD ROOM - GENERAL CLASSIFICATION,0150,ROOM
